T0 Wins % Last 5,T0 Passing Yrds,T0 Rushing Yrds,T0 Total Yrds,T0 Avg Pass Yrds/Att,T0 Avg Rush Yrds/Att,T0 Penalty Yrds,T0 Total Plays,T0 Fum Lost,T0 TOP (min),T0 First Downs,T0 Interceptions,T0 TDs,T0 Field Goals,T0 Points,T0 Sacked,T1 Wins % Last 5,T1 Passing Yrds,T1 Rushing Yrds,T1 Total Yrds,T1 Avg Pass Yrds/Att,T1 Avg Rush Yrds/Att,T1 Penalty Yrds,T1 Total Plays,T1 Fum Lost,T1 TOP (min),T1 First Downs,T1 Interceptions,T1 TDs,T1 Field Goals,T1 Points,T1 Sacked,Home Team,Result?
2,286,129,415,7.7,4.6,91,67,2,31,25,0,3,1,22,1,4,255,158,413,8.5,5.9,58,58,0,29,21,0,3,3,30,1,1,1
4,275,126,401,6.8,4.8,89,71,0,32,21,1,3,0,21,2,2,203,187,390,10,5.2,42,58,0,28,15,0,4,1,30,1,1,1
3,260,152,412,7.4,4.8,101,69,1,35,18,1,2,2,20,1,2,232,116,348,6.5,3.4,55,73,0,25,20,1,2,3,23,1,1,1
2,212,240,452,8.7,7.7,56,63,0,31,21,0,3,1,25,5,3,308,123,431,11.4,4.6,6,56,1,29,23,0,5,0,35,1,1,1
2,186,121,307,6,4.8,65,56,1,29,14,1,0,2,6,0,1,172,236,408,9.9,5.9,62,61,1,32,19,1,2,1,16,3,1,1
2,182,74,256,6.6,4.1,39,55,1,22,19,0,2,1,17,3,1,188,161,349,6.3,4.4,88,69,1,38,20,2,1,1,10,1,1,0
2,344,42,386,8.2,2.6,112,62,0,30,17,0,2,2,20,2,1,273,123,396,8.3,3.7,93,66,0,30,19,0,2,3,23,0,1,1
1,254,180,434,9.2,5.6,97,63,0,32,26,2,5,1,38,2,1,236,63,299,6.9,3.5,50,65,2,28,22,2,1,1,10,6,1,0
1,251,71,322,5.6,2.8,25,78,0,28,24,1,4,0,26,4,2,255,248,503,14.8,7.1,52,59,1,32,21,0,6,1,44,4,1,1
2,190,99,289,6,3.8,84,66,0,29,15,0,2,2,20,4,3,353,83,436,8.2,2.4,54,87,0,31,29,0,2,1,19,4,1,0
0,220,166,386,8.1,4.4,79,68,0,39,22,2,3,1,24,2,3,140,70,210,7.8,5,74,41,0,21,9,1,2,0,14,3,1,0
3,281,94,375,6.7,3.6,36,75,0,38,22,2,1,2,13,3,1,82,137,219,4.5,5.3,31,46,1,22,8,0,2,0,15,1,1,1
1,337,92,429,10.9,3,25,62,1,31,25,0,4,1,31,0,2,235,128,363,5.8,5.8,123,64,1,29,16,0,3,1,24,1,1,0
2,187,44,231,6.4,2.3,72,56,1,21,13,0,2,0,14,3,1,302,140,442,8.6,3.9,48,73,0,39,26,2,4,1,30,1,1,1
2,168,100,268,6.1,4.3,60,54,0,27,20,0,2,1,18,2,1,279,82,361,8.7,3.3,50,69,0,33,22,1,1,2,12,6,1,0
2,269,127,396,7.9,4.1,50,65,0,33,22,0,4,2,33,0,2,183,63,246,4.7,3.9,32,61,1,27,16,1,2,0,13,2,1,0
2,223,131,354,8.9,5.2,64,56,2,30,19,1,2,2,19,4,3,214,175,389,8.2,4.9,75,62,2,30,20,0,3,1,24,0,1,1
3,372,86,458,12,2.8,67,65,1,30,23,1,4,0,28,2,2,362,36,398,7.4,2,116,67,0,30,19,1,3,1,24,0,1,0
2,321,124,445,8.6,4.9,46,73,1,37,24,0,0,7,21,5,3,321,124,445,13.4,4.8,46,50,0,23,18,0,5,0,36,0,1,1
2,197,200,397,9.3,6.7,112,57,0,31,16,1,3,1,24,4,4,310,109,419,7.5,3.5,50,79,1,41,27,1,3,2,27,4,1,1
5,218,78,296,6.1,3.4,94,64,0,30,16,2,1,3,16,3,3,240,116,356,5.8,6.1,91,67,0,30,21,3,1,1,10,3,1,0
1,144,69,213,5.1,4.1,28,53,0,24,13,0,1,1,10,3,5,219,152,371,8.7,4.1,20,66,0,36,23,0,4,1,31,2,1,1
2,174,82,256,5.8,3.3,54,61,0,29,16,1,1,1,10,3,5,182,74,256,5.2,3.7,70,62,1,31,16,1,0,2,6,4,1,0
4,278,99,377,8.1,3.5,108,71,1,31,24,0,4,1,31,4,4,301,82,383,10.2,3.3,40,58,0,29,21,2,4,2,34,2,1,1
2,251,94,345,4.9,5.5,45,71,0,30,19,3,1,0,7,1,3,236,140,376,8.4,4.5,35,59,0,30,19,1,4,1,31,0,1,1
3,233,144,377,10.9,4.4,55,56,0,31,20,0,4,3,37,1,0,205,68,273,6.1,3.6,84,60,1,29,18,1,0,1,3,3,1,0
3,270,84,354,7.2,3,82,69,0,36,22,1,3,4,33,2,3,321,64,385,9.2,4,27,56,0,24,22,3,2,2,20,3,1,0
2,174,68,242,9.1,1.9,45,61,1,31,14,0,3,1,24,4,2,263,55,318,5.9,3.2,98,71,1,29,17,3,2,0,14,4,1,0
3,186,108,294,5.7,3.3,40,63,1,37,22,0,2,1,17,2,3,277,113,390,7.7,5.4,40,63,1,28,22,0,2,2,20,3,1,1
2,282,59,341,5.2,2.8,38,78,0,29,22,2,1,3,16,1,3,147,145,292,5.9,5.4,72,57,0,31,17,0,3,1,24,3,1,1
2,298,111,409,7.3,3.6,46,82,1,37,27,0,2,1,18,5,3,369,84,453,13.7,3.4,58,52,0,23,21,0,6,0,43,0,1,1
3,197,62,259,7.7,2.8,63,57,0,32,17,1,1,2,12,5,1,187,71,258,6.8,3.9,47,49,0,28,12,1,0,2,6,2,1,0
1,165,191,356,5.5,4.9,30,78,1,38,21,1,2,3,23,5,3,96,167,263,4.8,5.1,20,63,0,32,17,0,2,2,20,4,1,0
2,194,155,349,7.8,5.7,86,56,0,26,14,1,3,1,24,3,2,354,52,406,7.6,2.7,54,69,3,34,24,1,2,2,20,2,1,0
4,414,55,469,9.4,2.8,111,66,1,31,21,2,1,2,13,1,3,169,141,310,8.7,4.4,48,53,0,29,14,0,2,4,25,1,1,1
4,192,147,339,7.2,6.1,5,55,1,28,18,2,1,2,13,2,0,239,138,377,7.8,4.8,66,63,0,32,18,0,2,3,23,2,1,1
3,301,139,440,6.8,5.6,21,69,3,28,24,1,5,0,35,0,2,402,195,597,8.3,6.5,42,81,1,32,27,1,4,3,38,1,1,1
1,327,15,342,8.3,1.1,188,65,2,33,20,1,0,3,9,6,3,399,60,459,10.9,2.9,50,59,1,27,22,1,3,3,30,1,1,1
3,480,58,538,8.3,4.1,118,75,0,32,26,4,3,3,30,2,3,336,100,436,11.5,3.7,76,59,0,28,21,4,6,0,39,2,1,1
3,186,54,240,6.5,3,30,57,1,27,11,2,1,1,10,5,2,364,158,522,9.3,4.9,48,71,2,33,24,0,5,3,45,0,1,1
3,281,104,385,6.7,4.2,127,71,1,29,20,1,4,0,27,2,4,354,23,377,6.9,1.4,63,75,0,31,28,2,4,2,34,3,1,1
4,198,110,308,6.5,5.5,25,57,1,26,21,2,2,1,17,3,2,265,121,386,6.7,3.9,121,73,0,34,22,0,2,2,20,0,1,1
3,349,30,379,9.7,1.6,45,55,1,26,16,2,3,2,28,0,1,177,86,263,5.2,3.7,47,76,2,34,22,2,0,4,12,7,1,0
3,100,73,173,3.7,3.2,15,57,0,23,11,2,1,2,13,2,3,150,69,219,4.4,2.8,45,69,0,37,16,1,1,4,19,4,1,1
2,384,109,493,8.5,4.4,109,70,1,30,29,1,3,4,33,0,2,351,97,448,7.6,5.1,106,66,0,30,27,1,4,3,37,1,1,1
1,422,83,505,9,3.3,74,80,0,39,25,0,3,4,33,4,1,196,181,377,6,5.8,98,67,0,29,22,0,4,1,30,1,1,0
1,343,77,420,6.5,3.5,15,75,0,33,25,2,2,2,20,0,1,326,65,391,12.6,2.6,25,55,0,27,15,0,2,4,25,3,1,1
1,221,55,276,6.3,3.4,64,59,1,30,18,1,2,1,18,3,3,264,150,414,9.5,5.4,40,59,0,30,21,0,3,2,26,2,1,1
1,293,72,365,8.6,2.9,66,64,0,30,22,0,3,2,26,1,1,293,72,365,8.6,2.9,46,65,0,30,23,0,2,5,29,3,1,1
1,168,90,258,4.2,4.1,30,70,0,31,22,1,2,3,22,3,2,308,89,397,7,4.2,121,67,2,29,22,2,3,0,20,1,1,0
2,131,82,213,5.2,2.8,35,56,4,27,13,0,2,0,13,1,1,292,96,388,6.8,3.4,137,73,0,33,16,2,1,3,16,1,1,1
2,232,104,336,6.8,4.5,50,57,0,30,16,2,4,2,33,0,0,275,63,338,6,3.5,15,68,0,31,21,0,3,2,27,2,1,0
4,301,123,424,9.1,3.4,42,69,1,36,28,0,5,0,35,0,3,274,28,302,6.8,2,94,55,1,24,16,1,0,2,6,1,1,0
5,164,113,277,6.8,4,55,56,0,32,15,0,4,2,34,3,2,273,93,366,6.2,4.7,63,67,1,28,19,2,2,0,14,2,1,0
1,219,166,385,6.9,5.5,85,74,3,35,21,0,2,0,14,7,0,158,116,274,11.5,3.9,40,47,0,25,13,0,4,0,28,2,1,1
2,314,155,469,9.8,5.2,85,62,1,32,19,0,3,2,27,0,1,316,39,355,7,2.8,50,68,1,28,21,1,2,2,20,5,1,0
1,332,100,432,8.7,4.8,91,66,1,34,20,0,2,4,27,4,2,347,91,438,9.4,4.3,31,61,0,26,23,0,3,3,30,2,1,1
5,290,152,442,6,4.6,81,81,0,37,21,3,2,4,26,0,2,189,109,298,5.5,3.3,30,76,1,33,20,2,3,1,23,4,1,0
2,282,82,364,8,3.4,98,65,4,36,19,0,0,2,6,4,2,150,158,308,7.1,6.1,75,51,1,24,16,0,3,1,24,2,1,1
3,372,119,491,9.8,3.1,25,77,3,34,25,1,4,2,34,2,1,215,39,254,5.6,1.9,35,61,1,26,16,1,3,0,20,1,1,0
2,150,71,221,6.9,4.2,40,54,0,22,15,0,1,1,10,9,0,251,230,481,8.7,5.6,71,74,1,38,28,1,3,1,24,2,1,1
1,136,94,230,5,5.5,40,52,0,25,15,1,1,2,13,3,4,241,182,423,8.3,5.1,30,68,0,35,28,0,3,3,30,2,1,1
1,136,232,368,4.2,6.4,83,68,0,31,21,1,1,2,13,0,5,122,136,258,5.7,5,33,50,0,29,16,1,2,1,17,1,1,1
2,223,97,330,7.4,3,25,67,0,35,19,0,3,2,27,2,4,298,98,396,7.1,4.7,39,73,1,25,24,1,2,2,20,5,1,0
3,239,61,300,4.2,2.7,70,82,0,28,21,1,2,1,17,1,4,178,172,350,5.3,5.2,92,72,0,32,25,1,3,1,24,2,1,1
1,261,57,318,7.2,2.9,84,56,0,24,14,1,0,3,9,0,2,227,186,413,5.8,4,58,86,0,36,30,1,2,2,19,1,1,1
3,374,54,428,6.7,3.2,35,75,3,24,24,1,3,0,21,1,4,243,135,378,9.5,3.9,80,64,0,36,22,0,7,0,48,2,1,1
2,213,110,323,7.3,3.7,65,59,0,28,22,0,3,2,27,0,2,362,82,444,8.8,2.9,125,70,0,32,24,0,2,2,20,1,1,0
1,287,95,382,8.1,3.1,69,68,0,30,24,0,4,1,31,1,1,311,83,394,6.2,4,64,77,0,30,26,3,3,0,20,3,1,0
0,125,86,211,5.5,4.3,45,58,2,31,15,1,0,2,6,7,2,214,56,270,6.7,2.4,85,61,0,29,14,0,2,2,20,3,1,1
3,218,50,268,5.2,5,82,56,0,24,14,1,0,2,6,2,4,195,167,362,7.6,4.4,40,66,0,36,23,1,3,1,24,1,1,1
3,150,155,305,6.2,4.2,48,68,1,34,20,1,1,3,16,3,3,140,50,190,5,2.6,94,54,1,26,14,1,1,1,10,3,1,0
3,202,128,330,8,3,28,69,1,36,19,0,4,2,34,1,1,227,30,257,4.6,2.7,43,63,3,24,13,1,1,0,6,1,1,0
1,183,32,215,7.5,2.3,53,54,2,24,11,2,0,2,6,8,3,242,160,402,6.1,5.2,55,74,0,36,25,1,3,3,30,1,1,1
2,245,133,378,8.7,5.8,71,56,0,25,20,2,5,0,35,3,1,345,88,433,8.3,3.3,55,74,0,35,28,2,4,2,33,3,1,0
2,289,142,341,6,5.1,92,79,0,36,21,0,1,2,13,1,2,266,60,326,6,2.5,45,74,2,34,22,0,1,3,16,3,1,1
